X,Y,Potential_Energy
6.734630,0.373751,-0.001373
1.118179,3.056533,-1.633711
6.362138,5.980181,-0.442360
1.613019,4.883822,0.052500
1.309248,3.691317,0.463124
1.314126,1.837522,-3.995751
6.516598,3.743375,-0.421605
5.321578,3.162249,-1.406669
4.184523,2.556500,-0.736671
2.870644,0.784262,-2.033379
7.017604,5.319625,-0.226653
3.139561,2.698708,-1.135120
6.532796,1.167735,-0.012387
3.513079,2.206556,-0.894313
3.015555,2.484779,-1.147771
3.701438,4.965227,-1.846103
2.411023,4.401686,0.475303
5.980875,4.615829,-1.245595
4.021763,0.066188,-0.288238
1.857702,2.496924,-1.602415
7.196597,2.888065,-0.037550
3.071130,0.115154,-0.773334
4.348423,1.558879,-0.300188
7.251777,4.561739,-0.131603
4.993904,0.822658,-0.199137
0.935184,3.211861,-1.604833
7.518657,1.291211,-0.000743
5.021664,0.072725,-0.059301
2.679245,1.447209,-2.693503
1.114177,5.855243,-0.006664
6.352202,4.809223,-0.741117
4.960582,5.757460,-1.292640
4.267689,2.927124,-1.303941
7.151141,0.658417,-0.000637
6.308778,3.287757,-0.452916
1.213399,2.726264,-2.409434
2.493777,5.066142,-0.356384
1.987913,0.588495,-2.223627
5.951570,2.929447,-0.611644
0.268259,0.900292,-2.019634
4.559117,1.948056,0.026111
6.099669,4.424142,-1.064657
7.014125,2.856109,-0.058654
2.736654,2.255330,-1.362919
6.570058,2.366858,-0.091170
0.885054,2.756681,-3.105043
6.771618,4.710099,-0.367219
1.019909,5.352508,-0.023972
3.178298,5.732008,-0.444689
6.378363,4.721420,-0.715448
1.199339,1.892441,-4.125264
1.834011,4.128808,1.237568
5.778021,2.625619,-0.563820
5.760292,1.528024,-0.119521
5.129181,5.045229,-2.202018
5.551588,0.230558,-0.025640
4.341796,5.410572,-1.744417
2.014392,2.768865,-0.735205
2.765568,3.823209,0.440381
1.452782,3.956124,0.973803
7.267604,5.370706,-0.137675
4.667134,3.820018,-2.205205
3.206811,3.683602,-0.576246
3.696046,0.399912,-0.693723
7.578267,3.110448,-0.016888
1.226811,0.901014,-3.031974
4.689839,4.424603,-2.687412
4.047109,3.073332,-1.538780
4.891634,4.081367,-2.428806
0.144881,0.250037,-0.665044
6.976991,0.508752,-0.000830
7.456946,4.297940,-0.071390
4.521065,0.432506,-0.255174
5.573207,0.427540,-0.034593
7.379995,0.072651,-0.000088
5.657909,5.739008,-1.014387
1.220312,4.425050,0.402450
4.610307,2.119508,-0.041166
4.853720,1.779213,-0.032360
3.393045,2.098219,-1.003150
5.891554,4.647921,-1.380704
7.474936,3.968224,-0.054823
7.404548,1.111173,-0.000734
3.606715,1.044656,-1.439294
0.905904,0.590374,-1.911778
7.878730,3.961816,-0.017591
6.711185,4.586236,-0.403886
0.997301,1.590279,-4.321806
7.366735,0.125670,-0.000102
6.959171,0.493030,-0.000852
4.150704,5.807160,-1.002413
4.730203,1.772669,-0.011778
3.192022,4.615339,-1.051689
0.438093,3.747981,-1.031548
2.681578,2.291638,-1.343840
6.422828,1.234124,-0.018933
0.037056,0.728319,-1.342700
2.667993,3.690078,0.541261
3.185350,4.647803,-1.067729
4.299165,3.863426,-2.071609
7.358845,3.181813,-0.034750
2.770768,0.251707,-1.130054
2.775626,5.810933,-0.213328
5.900010,4.792285,-1.339329
3.617744,1.756932,-0.934162
1.796839,5.879822,-0.025686
3.619516,3.611290,-1.360934
1.126856,3.494536,-0.361021
1.411096,4.488439,0.482068
